DATE	rout	cout	cilv	evap	fnca	fcon
UNITS	m3/s	m3/s	M(m3)	mm	-	-
2000-10-01	-9999	0	0.164	0.804	1	0
2000-10-02	-9999	0	0.162	0.558	1	0
2000-10-03	-9999	0	0.162	0.017	1	0
2000-10-04	-9999	0	0.162	0	1	0
2000-10-05	-9999	0	0.162	0	1	0
2000-10-06	-9999	0	0.162	0	1	0
2000-10-07	-9999	0	0.162	0	1	0
2000-10-08	-9999	0	0.16	0.18	1	0
2000-10-09	-9999	0	0.156	0.687	1	0
2000-10-10	-9999	0	0.153	0.667	1	0
2000-10-11	-9999	0	0.15	0.446	1	0
2000-10-12	-9999	0	0.148	0.36	1	0
2000-10-13	-9999	0	0.147	0.324	1	0
2000-10-14	-9999	0	0.145	0.246	1	0
2000-10-15	-9999	0	0.142	0.594	1	0
2000-10-16	-9999	0	0.139	0.472	1	0
2000-10-17	-9999	0	0.136	0.467	1	0
2000-10-18	-9999	0	0.131	0.74	1	0
2000-10-19	-9999	0	0.127	0.696	1	0
2000-10-20	-9999	0	0.125	0.192	1	0
2000-10-21	-9999	0	0.121	0.702	1	0
2000-10-22	-9999	0	0.118	0.389	1	0
2000-10-23	-9999	0	0.115	0.536	1	0
2000-10-24	-9999	0	0.112	0.437	1	0
2000-10-25	-9999	0	0.109	0.423	1	0
2000-10-26	-9999	0	0.107	0.22	1	0
2000-10-27	-9999	0	0.107	0.035	1	0
2000-10-28	-9999	0	0.104	0.32	1	0
2000-10-29	-9999	0	0.1	0.635	1	0
2000-10-30	-9999	0	0.096	0.579	1	0
2000-10-31	-9999	0	0.095	0.154	1	0
2000-11-01	-9999	0	0.095	0.004	1	0
2000-11-02	-9999	0	0.095	0.025	1	0
2000-11-03	-9999	0	0.095	0	1	0
2000-11-04	-9999	0	0.093	0.244	1	0
2000-11-05	-9999	0	0.093	0.072	0.999	0.001
2000-11-06	-9999	0	0.094	0	0.999	0.001
2000-11-07	-9999	0	0.094	0	0.998	0.002
2000-11-08	-9999	0	0.094	0	0.998	0.002
2000-11-09	-9999	0	0.094	0	0.998	0.002
2000-11-10	-9999	0	0.095	0	0.998	0.002
2000-11-11	-9999	0	0.095	0	0.998	0.002
2000-11-12	-9999	0	0.095	0	0.998	0.002
2000-11-13	-9999	0	0.095	0	0.998	0.002
2000-11-14	-9999	0	0.095	0	0.997	0.003
2000-11-15	-9999	0	0.095	0	0.997	0.003
2000-11-16	-9999	0	0.096	0	0.997	0.003
2000-11-17	-9999	0	0.098	0	0.994	0.006
2000-11-18	-9999	0	0.101	0	0.991	0.009
2000-11-19	-9999	0	0.102	0	0.99	0.01
2000-11-20	-9999	0	0.102	0	0.99	0.01
2000-11-21	-9999	0	0.102	0	0.99	0.01
2000-11-22	-9999	0	0.102	0	0.99	0.01
2000-11-23	-9999	0	0.102	0	0.99	0.01
2000-11-24	-9999	0	0.102	0	0.99	0.01
2000-11-25	-9999	0	0.102	0	0.99	0.01
2000-11-26	-9999	0	0.102	0	0.99	0.01
2000-11-27	-9999	0	0.102	0	0.99	0.01
2000-11-28	-9999	0	0.103	0	0.989	0.011
