DATE	rout	cout	cilv	evap	fnca	fcon
UNITS	m3/s	m3/s	M(m3)	mm	-	-
2000-10-01	-9999	0	0.231	0.804	0	1
2000-10-02	-9999	0	0.228	0.558	0	1
2000-10-03	-9999	0	0.228	0.017	0	1
2000-10-04	-9999	0	0.228	0	0	1
2000-10-05	-9999	0	0.228	0	0	1
2000-10-06	-9999	0	0.228	0	0	1
2000-10-07	-9999	0	0.228	0	0	1
2000-10-08	-9999	0	0.226	0.18	0	1
2000-10-09	-9999	0	0.223	0.687	0	1
2000-10-10	-9999	0	0.219	0.667	0	1
2000-10-11	-9999	0	0.216	0.446	0	1
2000-10-12	-9999	0	0.214	0.36	0	1
2000-10-13	-9999	0	0.213	0.324	0	1
2000-10-14	-9999	0	0.211	0.246	0	1
2000-10-15	-9999	0	0.208	0.594	0	1
2000-10-16	-9999	0	0.205	0.472	0	1
2000-10-17	-9999	0	0.202	0.467	0	1
2000-10-18	-9999	0	0.197	0.74	0	1
2000-10-19	-9999	0	0.193	0.696	0	1
2000-10-20	-9999	0	0.192	0.192	0	1
2000-10-21	-9999	0	0.187	0.702	0	1
2000-10-22	-9999	0	0.184	0.389	0	1
2000-10-23	-9999	0	0.181	0.536	0	1
2000-10-24	-9999	0	0.178	0.437	0	1
2000-10-25	-9999	0	0.175	0.423	0	1
2000-10-26	-9999	0	0.173	0.22	0	1
2000-10-27	-9999	0	0.173	0.035	0	1
2000-10-28	-9999	0	0.17	0.32	0	1
2000-10-29	-9999	0	0.166	0.635	0	1
2000-10-30	-9999	0	0.162	0.579	0	1
2000-10-31	-9999	0	0.161	0.154	0	1
2000-11-01	-9999	0	0.161	0.004	0	1
2000-11-02	-9999	0	0.161	0.025	0	1
2000-11-03	-9999	0	0.161	0	0	1
2000-11-04	-9999	0	0.159	0.244	0	1
2000-11-05	-9999	0	0.159	0.072	0	1
2000-11-06	-9999	0	0.16	0	0	1
2000-11-07	-9999	0	0.16	0	0	1
2000-11-08	-9999	0	0.16	0	0	1
2000-11-09	-9999	0	0.161	0	0	1
2000-11-10	-9999	0	0.161	0	0	1
2000-11-11	-9999	0	0.161	0	0	1
2000-11-12	-9999	0	0.161	0	0	1
2000-11-13	-9999	0	0.161	0	0	1
2000-11-14	-9999	0	0.161	0	0	1
2000-11-15	-9999	0	0.162	0	0	1
2000-11-16	-9999	0	0.162	0	0	1
2000-11-17	-9999	0	0.164	0	0	1
2000-11-18	-9999	0	0.167	0	0	1
2000-11-19	-9999	0	0.168	0	0	1
2000-11-20	-9999	0	0.168	0	0	1
2000-11-21	-9999	0	0.168	0	0	1
2000-11-22	-9999	0	0.168	0	0	1
2000-11-23	-9999	0	0.168	0	0	1
2000-11-24	-9999	0	0.168	0	0	1
2000-11-25	-9999	0	0.168	0	0	1
2000-11-26	-9999	0	0.168	0	0	1
2000-11-27	-9999	0	0.169	0	0	1
2000-11-28	-9999	0	0.169	0	0	1
2000-11-29	-9999	0	0.17	0	0	1
2000-11-30	-9999	0	0.17	0	0	1
2000-12-01	-9999	0	0.17	0	0	1
2000-12-02	-9999	0	0.17	0	0	1
2000-12-03	-9999	0	0.17	0	0	1
2000-12-04	-9999	0	0.17	0	0	1
2000-12-05	-9999	0	0.17	0	0	1
2000-12-06	-9999	0	0.172	0	0	1
2000-12-07	-9999	0	0.172	0	0	1
2000-12-08	-9999	0	0.173	0	0	1
2000-12-09	-9999	0	0.173	0	0	1
2000-12-10	-9999	0	0.173	0	0	1
2000-12-11	-9999	0	0.173	0	0	1
2000-12-12	-9999	0	0.173	0	0	1
2000-12-13	-9999	0	0.173	0	0	1
2000-12-14	-9999	0	0.174	0	0	1
2000-12-15	-9999	0	0.178	0	0	1
