DATE	rout	cout	cilv	evap	fnca	fcon
UNITS	m3/s	m3/s	M(m3)	mm	-	-
2000-10-01	0.009	0	22.123	1.287	1	0
2000-10-02	0.008	0	21.954	0.867	1	0
2000-10-03	0.008	0	21.937	0.131	1	0
2000-10-04	0.037	0	21.938	0	1	0
2000-10-05	0.136	0	21.939	0	1	0
2000-10-06	0.11	0	21.941	0	1	0
2000-10-07	0.077	0	21.941	0	1	0
2000-10-08	0.053	0	21.926	0.053	1	0
2000-10-09	0.042	0	21.789	0.617	1	0
2000-10-10	0.034	0	21.642	0.671	1	0
2000-10-11	0.03	0	21.476	0.73	1	0
2000-10-12	0.041	0	21.328	0.631	1	0
2000-10-13	0.046	0	21.186	0.59	1	0
2000-10-14	0.038	0	21.054	0.538	1	0
2000-10-15	0.031	0	20.942	0.446	1	0
2000-10-16	0.029	0	20.782	0.613	1	0
2000-10-17	0.036	0	20.585	0.73	1	0
2000-10-18	0.037	0	20.398	0.67	1	0
2000-10-19	0.037	0	20.131	0.935	1	0
2000-10-20	0.035	0	20.021	0.38	1	0
2000-10-21	0.034	0	19.813	0.691	1	0
2000-10-22	0.03	0	19.603	0.678	1	0
2000-10-23	0.026	0	19.436	0.529	1	0
2000-10-24	0.024	0	19.219	0.668	1	0
2000-10-25	0.026	0	19.284	0.815	0.998	0.002
2000-10-26	0.028	0	19.128	0.853	1	0
2000-10-27	0.024	0	19.128	0	1	0
2000-10-28	0.038	0	19.052	0.173	1	0
2000-10-29	0.038	0	19.035	1.33	1	0
2000-10-30	0.08	0	19.407	1.901	0.991	0.009
2000-10-31	0.089	0.001	19.25	1.987	1	0
2000-11-01	0.123	0.001	19.283	0.951	0.999	0.001
2000-11-02	0.072	0	20.679	0.152	0.963	0.037
2000-11-03	-9999	0.01	20.757	0	0.961	0.039
2000-11-04	-9999	0.02	20.834	0	0.959	0.041
2000-11-05	-9999	0.026	20.913	0.278	0.957	0.043
2000-11-06	-9999	0.037	21.057	0	0.954	0.046
2000-11-07	-9999	0.048	21.547	0	0.941	0.059
2000-11-08	-9999	0.06	22.069	0	0.928	0.072
2000-11-09	-9999	0.071	22.357	0	0.921	0.079
2000-11-10	-9999	0.078	22.524	0	0.917	0.083
2000-11-11	-9999	0.082	22.608	0	0.914	0.086
2000-11-12	-9999	0.082	22.683	0	0.913	0.087
2000-11-13	-9999	0.079	22.751	0	0.911	0.089
2000-11-14	-9999	0.076	22.812	0	0.909	0.091
2000-11-15	-9999	0.072	22.869	0	0.908	0.092
2000-11-16	-9999	0.067	22.929	0	0.906	0.094
2000-11-17	-9999	0.063	22.999	0	0.905	0.095
2000-11-18	-9999	0.058	23.207	0	0.9	0.1
2000-11-19	-9999	0.055	23.282	0	0.898	0.102
2000-11-20	-9999	0.051	23.316	0	0.897	0.103
2000-11-21	-9999	0.048	23.347	0	0.896	0.104
2000-11-22	-9999	0.044	23.375	0	0.895	0.105
2000-11-23	-9999	0.04	23.401	0	0.895	0.105
2000-11-24	-9999	0.037	23.424	0	0.894	0.106
2000-11-25	-9999	0.034	23.445	0	0.894	0.106
2000-11-26	-9999	0.031	23.464	0	0.893	0.107
2000-11-27	-9999	0.029	23.482	0	0.893	0.107
2000-11-28	-9999	0.026	23.96	0	0.881	0.119
2000-11-29	-9999	0.025	23.983	0	0.88	0.12
2000-11-30	-9999	0.023	23.995	0	0.88	0.12
2000-12-01	-9999	0.021	24.008	0	0.879	0.121
2000-12-02	-9999	0.02	24.019	0	0.879	0.121
2000-12-03	-9999	0.018	24.03	0	0.879	0.121
2000-12-04	-9999	0.017	24.04	0	0.879	0.121
2000-12-05	-9999	0.015	24.052	0	0.878	0.122
2000-12-06	-9999	0.014	24.215	0	0.874	0.126
2000-12-07	-9999	0.013	24.495	0	0.867	0.133
2000-12-08	-9999	0.012	24.558	0	0.866	0.134
2000-12-09	-9999	0.011	24.688	0	0.862	0.138
2000-12-10	-9999	0.01	24.693	0	0.862	0.138
2000-12-11	-9999	0.009	24.697	0	0.862	0.138
2000-12-12	-9999	0.009	24.702	0	0.862	0.138
2000-12-13	-9999	0.008	24.705	0	0.862	0.138
2000-12-14	-9999	0.007	24.794	0	0.86	0.14
2000-12-15	-9999	0.007	25.044	0	0.853	0.147
2000-12-16	-9999	0.006	25.288	0	0.847	0.153
2000-12-17	-9999	0.006	25.556	0	0.841	0.159
2000-12-18	-9999	0.005	25.721	0	0.836	0.164
2000-12-19	-9999	0.005	26.044	0	0.828	0.172
2000-12-20	-9999	0.005	26.373	0	0.82	0.18
2000-12-21	-9999	0.004	26.376	0	0.82	0.18
2000-12-22	-9999	0.004	26.38	0	0.82	0.18
2000-12-23	-9999	0.004	26.381	0	0.82	0.18
2000-12-24	-9999	0.004	26.383	0	0.82	0.18
2000-12-25	-9999	0.003	26.384	0	0.82	0.18
2000-12-26	-9999	0.003	26.388	0	0.82	0.18
2000-12-27	-9999	0.003	26.392	0	0.82	0.18
2000-12-28	-9999	0.002	26.528	0	0.816	0.184
2000-12-29	-9999	0.002	26.567	0	0.815	0.185
2000-12-30	-9999	0.002	26.569	0	0.815	0.185
2000-12-31	-9999	0.002	26.57	0	0.815	0.185
2001-01-01	-9999	0.002	26.572	0	0.815	0.185
2001-01-02	-9999	0.002	26.59	0	0.815	0.185
2001-01-03	-9999	0.001	26.591	0	0.815	0.185
2001-01-04	-9999	0.001	26.591	0	0.815	0.185
2001-01-05	-9999	0.001	26.593	0	0.815	0.185
2001-01-06	-9999	0.001	26.596	0.346	0.814	0.186
2001-01-07	-9999	0.041	26.641	0	0.813	0.187
2001-01-08	-9999	0.081	26.698	0	0.812	0.188
2001-01-09	-9999	0.107	26.754	0	0.81	0.19
2001-01-10	-9999	0.121	26.806	0	0.809	0.191
2001-01-11	-9999	0.125	26.854	0	0.808	0.192
2001-01-12	-9999	0.123	26.898	0	0.807	0.193
2001-01-13	-9999	0.119	26.938	0	0.806	0.194
2001-01-14	-9999	0.112	26.975	0	0.805	0.195
2001-01-15	-9999	0.105	27.011	0	0.804	0.196
2001-01-16	-9999	0.097	27.044	0	0.803	0.197
2001-01-17	-9999	0.089	27.071	0	0.803	0.197
2001-01-18	-9999	0.082	27.097	0	0.802	0.198
2001-01-19	-9999	0.075	27.119	0	0.801	0.199
2001-01-20	-9999	0.069	27.139	0	0.801	0.199
2001-01-21	-9999	0.063	27.158	0	0.8	0.2
2001-01-22	-9999	0.057	27.174	0	0.8	0.2
2001-01-23	-9999	0.052	27.189	0	0.8	0.2
2001-01-24	-9999	0.048	27.203	0	0.799	0.201
2001-01-25	-9999	0.043	27.216	0	0.799	0.201
2001-01-26	-9999	0.039	27.228	0	0.799	0.201
2001-01-27	-9999	0.036	27.239	0	0.798	0.202
2001-01-28	-9999	0.033	27.248	0	0.798	0.202
2001-01-29	-9999	0.03	27.257	0	0.798	0.202
2001-01-30	-9999	0.027	27.271	0	0.798	0.202
2001-01-31	-9999	0.025	27.289	0	0.797	0.203
2001-02-01	-9999	0.022	27.302	0	0.797	0.203
2001-02-02	-9999	0.02	27.46	0	0.793	0.207
2001-02-03	-9999	0.019	27.466	0	0.793	0.207
2001-02-04	-9999	0.017	27.471	0	0.793	0.207
2001-02-05	-9999	0.016	27.497	0	0.792	0.208
2001-02-06	-9999	0.014	27.527	0	0.791	0.209
2001-02-07	-9999	0.013	27.531	0	0.791	0.209
2001-02-08	-9999	0.012	27.535	0	0.791	0.209
2001-02-09	-9999	0.011	27.538	0	0.791	0.209
2001-02-10	-9999	0.01	27.541	0	0.791	0.209
2001-02-11	-9999	0.009	27.545	0	0.791	0.209
2001-02-12	-9999	0.008	27.626	0	0.789	0.211
2001-02-13	-9999	0.007	27.778	0	0.785	0.215
2001-02-14	-9999	0.007	27.78	0	0.785	0.215
